關聯欄位,公司名稱,股票代號,原始星等,corr_20d,corr_60d,corr_120d,lag_n,lag_win_rate,lag_chi2_pvalue,樣本可信度,composite_weight
台灣高關聯股,穎崴,6515.TW,4,0.39859068244086604,0.6802924420730722,0.504722690060849,257,0.541,0.2759003485878894,樣本充足（>200，具統計意義）,0.293
台灣高關聯股,旺矽,6223.TW,4,0.6076491563167228,0.7128539835859504,0.484350934590878,255,0.518,0.778309405273299,樣本充足（>200，具統計意義）,0.26
全球上游_供應,M31,6643.TW,4,0.5148938573011334,0.5360165115032417,0.48350610905862906,255,0.514,0.6932818921612434,樣本充足（>200，具統計意義）,0.255
全球合作_需求端,台積電,2330.TW,5,0.5094718802632129,0.5005354442674756,0.46487015729436565,243,0.51,0.9672512955998206,樣本充足（>200，具統計意義）,0.243
全球競爭_同業,,AVGO,5,0.20927610155714027,0.15061167742069312,0.16811917642785693,257,0.619,0.00024405863046753117,樣本充足（>200，具統計意義）,0.243
全球上游_供應,力旺,3529.TW,4,0.30392067167097814,0.494962884825733,0.3984244669863344,253,0.534,0.30458026614640304,樣本充足（>200，具統計意義）,0.233
台灣高關聯股,京元電,2449.TW,4,0.5914557948777817,0.6385446348354962,0.4290830841465629,254,0.508,0.9706710081793997,樣本充足（>200，具統計意義）,0.222
台灣高關聯股,精測,6510.TW,4,0.2817384107771913,0.5150649297097958,0.44062329251664506,253,0.474,0.4969060503720033,樣本充足（>200，具統計意義）,0.22
全球合作_需求端,,AMZN,0,-0.05892717993569287,0.24996504112462126,0.15389996756447083,257,0.584,0.01074477813085621,樣本充足（>200，具統計意義）,0.193
全球合作_需求端,台積電,TSM,5,0.3217889384425025,0.16618498863996842,0.16339060825839727,257,0.576,0.02505040818410478,樣本充足（>200，具統計意義）,0.189
全球上游_供應,,ARM,4,0.23864629413699465,0.2783632507697546,0.28333579449548263,257,0.541,0.23654664627415883,樣本充足（>200，具統計意義）,0.183
全球上游_供應,,CDNS,4,-0.19657602834917276,0.12589601146552235,0.212309541082965,257,0.537,0.2635892618369159,樣本充足（>200，具統計意義）,0.143
全球合作_需求端,,GOOGL,0,-0.27219259389350486,0.08096698343795372,0.045884957259969134,257,0.568,0.041869998467304236,樣本充足（>200，具統計意義）,0.109
全球上游_供應,,SNPS,4,-0.2559084003516668,0.12595943592335723,0.16914232151674308,257,0.521,0.5258685335726223,樣本充足（>200，具統計意義）,0.106
全球合作_需求端,,META,0,0.45018634070814717,0.2317954335607021,0.0826066475684894,257,0.56,0.07175681897832989,樣本充足（>200，具統計意義）,0.102
全球合作_需求端,,MSFT,0,-0.09776491154552669,0.08967477277206888,0.10837769383441938,257,0.545,0.18785051734520447,樣本充足（>200，具統計意義）,0.099
全球競爭_同業,,MRVL,5,0.1542746984106025,0.1749413920357329,0.04356933075320771,256,0.566,0.050932944917218705,樣本充足（>200，具統計意義）,0.088
