關聯欄位,公司名稱,股票代號,原始星等,corr_20d,corr_60d,corr_120d,lag_n,lag_win_rate,lag_chi2_pvalue,樣本可信度,composite_weight
台灣高關聯股,穎崴,6515.TW,4,0.39859068244086604,0.6802924420730722,0.504722690060849,257,0.541,0.2759003485878894,樣本充足（>200，具統計意義）,0.293
全球合作_需求端,台積電,2330.TW,5,0.5094718802632129,0.5005354442674756,0.46487015729436565,243,0.51,0.9672512955998206,樣本充足（>200，具統計意義）,0.243
全球競爭_同業,,AVGO,5,0.20927610155714027,0.15061167742069312,0.16811917642785693,257,0.619,0.00024405863046753117,樣本充足（>200，具統計意義）,0.243
台灣高關聯股,京元電,2449.TW,4,0.5914557948777811,0.6385446348354965,0.4290830841465629,254,0.508,0.9706710081793997,樣本充足（>200，具統計意義）,0.222
全球合作_需求端,,AMZN,0,-0.05892717993569289,0.2499650411246212,0.15389996756447094,257,0.584,0.01074477813085621,樣本充足（>200，具統計意義）,0.193
全球合作_需求端,台積電,TSM,5,0.3217889384425023,0.1661849886399684,0.16339060825839724,257,0.576,0.02505040818410478,樣本充足（>200，具統計意義）,0.189
全球上游_供應,,ARM,4,0.2386462941369945,0.2783632507697546,0.28333579449548263,257,0.541,0.23654664627415883,樣本充足（>200，具統計意義）,0.183
全球上游_供應,,CDNS,4,-0.19657602834917276,0.12589601146552235,0.212309541082965,257,0.537,0.2635892618369159,樣本充足（>200，具統計意義）,0.143
全球合作_需求端,,GOOGL,0,-0.27219259389350486,0.08096698343795376,0.04588495725996914,257,0.568,0.041869998467304236,樣本充足（>200，具統計意義）,0.109
全球上游_供應,,SNPS,4,-0.2559084003516668,0.12595943592335723,0.16914232151674308,257,0.521,0.5258685335726223,樣本充足（>200，具統計意義）,0.106
全球合作_需求端,,META,0,0.45018634070814717,0.2317954335607021,0.0826066475684894,257,0.56,0.07175681897832989,樣本充足（>200，具統計意義）,0.102
全球合作_需求端,,MSFT,0,-0.09776491154552669,0.08967477277206888,0.10837769383441938,257,0.545,0.18785051734520447,樣本充足（>200，具統計意義）,0.099
全球競爭_同業,,MRVL,5,0.15427469841060187,0.17494139203573278,0.043569330753207625,256,0.566,0.050932944917218705,樣本充足（>200，具統計意義）,0.088
